0,428A2F98
1,71374491
2,B5C0FBCF
3,E9B5DBA5
4,3956C25B
5,59F111F1
6,923F82A4
7,AB1C5ED5
8,D807AA98
9,12835B01
10,243185BE
11,550C7DC3
12,72BE5D74
13,80DEB1FE
14,9BDC06A7
15,C19BF174
16,E49B69C1
17,EFBE4786
18,0FC19DC6
19,240CA1CC
20,2DE92C6F
21,4A7484AA
22,5CB0A9DC
23,76F988DA
24,983E5152
25,A831C66D
26,B00327C8
27,BF597FC7
28,C6E00BF3
29,D5A79147
30,06CA6351
31,14292967
32,27B70A85
33,2E1B2138
34,4D2C6DFC
35,53380D13
36,650A7354
37,766A0ABB
38,81C2C92E
39,92722C85
40,A2BFE8A1
41,A81A664B
42,C24B8B70
43,C76C51A3
44,D192E819
45,D6990624
46,F40E3585
47,106AA070
48,19A4C116
49,1E376C08
50,2748774C
51,34B0BCB5
52,391C0CB3
53,4ED8AA4A
54,5B9CCA4F
55,682E6FF3
56,748F82EE
57,78A5636F
58,84C87814
59,8CC70208
60,90BEFFFA
61,A4506CEB
62,BEF9A3F7
63,C67178F2
